1569 1575.75 100.25 102.25 113.5 130.5 312.25 376 71.5 105.5 62.75 183.75 25.25 212 214 311.5 37.25 662.75 27.75 117.75 270 64.5 444.25 217 69.5 518.25 900.75 826.5 599.25 126.75
2361.75 1926 109.75 187.75 114.25 189 364.75 557.5 112.75 134.75 130.75 319.5 39.75 276.5 265.5 438.75 84.25 818.25 51 190.5 301.5 77.5 561.75 301.75 154.75 961.5 1467 1485 1138.5 249.75
3507.75 3273 120 238.75 117 212.25 522.25 670.25 145.5 196.75 186.75 427.25 50 366 360 566.5 113.5 923.75 55.75 274 385.5 103.25 687.25 444.5 121.5 1323 2154 1918.5 1476 321
3593.25 3200.25 121.5 161.25 152.75 236.5 472 676.5 163.25 193.5 185.25 454.5 53.25 324.5 405 586 113.5 861.75 57.25 278.75 420.75 112.75 698.25 347.25 128.25 1803.75 2159.25 2138.25 1708.5 239.25
3336.75 2904 125.25 189 129.75 255.25 457 679.5 132.25 183.75 169.25 466 50.25 330.5 400.5 498.75 89 799.75 56.5 232.75 393 129.5 645 322.5 142.25 1487.25 1940.25 1826.25 1685.25 309.75
2760 2476.5 98 127 117 182 338.75 502.25 111.5 142.25 125 332 32.5 244.25 300 368.25 79 782.25 52.75 192.5 389.25 80.5 557.25 279.5 89.75 968.25 1551.75 1617 1161.75 147
1836 1977 104.333333333333 179.25 103.5 155 305.5 388.5 94.5 124.25 95.75 280.25 32.25 226.5 225.25 314.25 51 804 34 143.75 306.25 75.25 457.75 206 96 1017.75 1064.25 999.75 914.25 107.25
1191 1107 95.6666666666667 84.25 68.75 82.5 208.25 267.75 63.5 82.75 55.75 150 21.5 142.25 163.5 218.25 41.75 652 35.5 99.75 237.25 66.75 362.25 161.75 56.75 432 555 624 423 96
829.5 809.25 26.6666666666667 76.75 36.5 69.5 118.25 169 42 52 30.75 93.5 18.5 110.25 120 158 23.75 562.75 22 47.25 145.5 38.75 243.25 115.75 63.5 307.5 372 409.5 296.25 42
531.75 379.5 8.5 49.5 32.5 42.75 105.75 85.75 47.75 41.25 11 59 14 168.5 65.75 136.5 21 535.5 7.5 23 72 35.25 168.25 42 25.5 181.5 255 210 127.5 54
288 214.5 9.75 230.25 21 34.25 57 64 40.75 30.25 13.25 37 23 82.5 47.25 92.25 9 497.5 3 13 51 28 100.5 46 8.75 57 88.5 80.25 50.25 60
187.5 142.5 8.5 299.25 23.5 36 65.75 62 31 39 15 43.75 0 70 55.3333333333333 92.5 15 486.25 2.75 5.75 28.5 36.6666666666667 84.5 40.75 20.5 39 67.5 86.25 36.75 36.75
192 183 0 134.666666666667 23 29.75 61.5 56.25 38.3333333333333 25.75 18.5 37 15 37.3333333333333 35.25 46.6666666666667 15 482.25 2 14.75 32.25 38.7323529411765 42.5 28.75 7.33333333333333 36 81 69 63 6
378.75 232.5 5.75 106.5 28.25 56 110.5 84 32.25 32.75 24.5 72.25 14.25 91 45.5 99 20.6666666666667 527.5 4.5 33.5 65.5 30 87.75 46.5 30.25 71.25 210 206.25 67.5 15
1274.25 904.5 52.25 106 50.75 130 249.5 268 59.75 60.5 92 141.5 39 116 101 209.5 28.25 604.5 22 110.5 143.25 45.75 251.25 109.5 45 290.25 699 771 289.5 61.5
